"Step","kind-music-2 - mean_reward","kind-music-2 - mean_reward__MIN","kind-music-2 - mean_reward__MAX"
"62","1","1","1"
"175","2","2","2"
"256","1.3333333333333333","1.3333333333333333","1.3333333333333333"
"345","1.5","1.5","1.5"
"442","1.4","1.4","1.4"
"547","1.1666666666666667","1.1666666666666667","1.1666666666666667"
"630","1","1","1"
"709","0.875","0.875","0.875"
"810","1.1111111111111112","1.1111111111111112","1.1111111111111112"
"895","1.1","1.1","1.1"
"1002","1.6","1.6","1.6"
"1085","1.3","1.3","1.3"
"1186","1.4","1.4","1.4"
"1291","1.3","1.3","1.3"
"1400","1.4","1.4","1.4"
"1505","1.8","1.8","1.8"
"1628","2","2","2"
"1731","2.5","2.5","2.5"
"1848","2.8","2.8","2.8"
"1935","2.8","2.8","2.8"
"2024","2.3","2.3","2.3"
"2125","2.3","2.3","2.3"
"2294","3.1","3.1","3.1"
"2395","3.1","3.1","3.1"
"2486","2.9","2.9","2.9"
"2595","2.8","2.8","2.8"
"2690","2.8","2.8","2.8"
"2797","2.7","2.7","2.7"
"2888","2.1","2.1","2.1"
"2985","2","2","2"
"3122","2.2","2.2","2.2"
"3221","2.3","2.3","2.3"
"3314","1.6","1.6","1.6"
"3399","1.6","1.6","1.6"
"3488","1.6","1.6","1.6"
"3585","1.8","1.8","1.8"
"3694","2.1","2.1","2.1"
"3801","2.3","2.3","2.3"
"3910","2.9","2.9","2.9"
"4001","3","3","3"
"4102","3.1","3.1","3.1"
"4229","3.5","3.5","3.5"
"4314","3.4","3.4","3.4"
"4407","3.6","3.6","3.6"
"4494","3.6","3.6","3.6"
"4591","3.2","3.2","3.2"
"4702","3.2","3.2","3.2"
"4797","2.7","2.7","2.7"
"4902","2.4","2.4","2.4"
"5021","3","3","3"
"5140","3.2","3.2","3.2"
"5259","3.3","3.3","3.3"
"5360","3.2","3.2","3.2"
"5489","3.7","3.7","3.7"
"5590","3.8","3.8","3.8"
"5687","4","4","4"
"5792","3.8","3.8","3.8"
"5887","4","4","4"
"5966","3.7","3.7","3.7"
"6059","3.3","3.3","3.3"
"6154","2.9","2.9","2.9"
"6247","2.3","2.3","2.3"
"6342","2.4","2.4","2.4"
"6435","1.8","1.8","1.8"
"6544","1.9","1.9","1.9"
"6639","1.8","1.8","1.8"
"6718","1.5","1.5","1.5"
"6817","1.2","1.2","1.2"
"6912","1.4","1.4","1.4"
"7057","2.5","2.5","2.5"
"7152","2.5","2.5","2.5"
"7245","2.8","2.8","2.8"
"7354","3","3","3"
"7491","4.1","4.1","4.1"
"7574","3.9","3.9","3.9"
"7665","4","4","4"
"7772","4","4","4"
"7861","4.2","4.2","4.2"
"7958","4","4","4"
"8055","2.8","2.8","2.8"
"8140","2.7","2.7","2.7"
"8237","2.7","2.7","2.7"
"8330","2.5","2.5","2.5"
"8419","1.4","1.4","1.4"
"8516","1.4","1.4","1.4"
"8601","1.2","1.2","1.2"
"8744","1.9","1.9","1.9"
"8841","1.9","1.9","1.9"
"8948","1.9","1.9","1.9"
"9039","1.9","1.9","1.9"
"9136","2.1","2.1","2.1"
"9241","2.1","2.1","2.1"
"9338","2.4","2.4","2.4"
"9439","2.3","2.3","2.3"
"9556","2.5","2.5","2.5"
"9669","2.8","2.8","2.8"
"9752","2.1","2.1","2.1"
"9849","2.1","2.1","2.1"
"9944","2.3","2.3","2.3"
"10031","2.3","2.3","2.3"
"10122","2.1","2.1","2.1"
"10229","2.1","2.1","2.1"
"10322","2","2","2"
"10427","2.1","2.1","2.1"
"10534","2","2","2"
"10627","1.9","1.9","1.9"
"10742","2.3","2.3","2.3"
"10829","2.2","2.2","2.2"
"10926","2.5","2.5","2.5"
"11041","2.6","2.6","2.6"
"11128","2.8","2.8","2.8"
"11233","3","3","3"
"11320","2.9","2.9","2.9"
"11417","3","3","3"
"11516","3","3","3"
"11621","3","3","3"
"11708","2.7","2.7","2.7"
"11809","2.9","2.9","2.9"
"11908","2.8","2.8","2.8"
"11995","2.8","2.8","2.8"
"12108","2.8","2.8","2.8"
"12199","2.5","2.5","2.5"
"12296","2.5","2.5","2.5"
"12433","3","3","3"
"12534","2.9","2.9","2.9"
"12647","2.8","2.8","2.8"
"12754","3.2","3.2","3.2"
"12877","3.3","3.3","3.3"
"12988","3.4","3.4","3.4"
"13077","3.2","3.2","3.2"
"13172","3.5","3.5","3.5"
"13271","3.4","3.4","3.4"
"13374","3.3","3.3","3.3"
"13467","2.7","2.7","2.7"
"13560","2.9","2.9","2.9"
"13649","2.9","2.9","2.9"
"13742","2.7","2.7","2.7"
"13835","2.4","2.4","2.4"
"13920","1.9","1.9","1.9"
"14017","2","2","2"
"14112","1.4","1.4","1.4"
"14219","1.8","1.8","1.8"
"14348","2.8","2.8","2.8"
"14435","2.7","2.7","2.7"
"14546","3","3","3"
"14683","3.8","3.8","3.8"
"14768","3.6","3.6","3.6"
"14859","3.9","3.9","3.9"
"14954","4.1","4.1","4.1"
"15051","4","4","4"
"15140","4.2","4.2","4.2"
"15271","4.4","4.4","4.4"
"15374","3.7","3.7","3.7"
"15479","3.9","3.9","3.9"
"15560","3.4","3.4","3.4"
"15679","2.9","2.9","2.9"
"15780","2.9","2.9","2.9"
"15877","2.6","2.6","2.6"
"15974","2.5","2.5","2.5"
"16095","2.8","2.8","2.8"
"16176","2.6","2.6","2.6"
"16285","2.3","2.3","2.3"
"16406","2.7","2.7","2.7"
"16537","3.5","3.5","3.5"
"16634","3.6","3.6","3.6"
"16715","3.2","3.2","3.2"
"16820","3.2","3.2","3.2"
"16911","3.2","3.2","3.2"
"17004","3.4","3.4","3.4"
"17111","3.2","3.2","3.2"
"17198","3.2","3.2","3.2"
"17289","2.8","2.8","2.8"
"17382","2.5","2.5","2.5"
"17489","1.8","1.8","1.8"
"17596","2.1","2.1","2.1"
"17709","2.5","2.5","2.5"
"17812","2.9","2.9","2.9"
"17897","2.9","2.9","2.9"
"17998","2.8","2.8","2.8"
"18101","3.2","3.2","3.2"
"18194","3.4","3.4","3.4"
"18285","3.5","3.5","3.5"
"18388","3.2","3.2","3.2"
"18475","3","3","3"
"18576","2.9","2.9","2.9"
"18687","2.8","2.8","2.8"
"18770","2.5","2.5","2.5"
"18857","2.6","2.6","2.6"
"18958","2.8","2.8","2.8"
"19077","2.9","2.9","2.9"
"19184","3.4","3.4","3.4"
"19303","4","4","4"
"19416","4.2","4.2","4.2"
"19527","4.7","4.7","4.7"
"19640","4.7","4.7","4.7"
"19733","4.4","4.4","4.4"
"19864","5.5","5.5","5.5"
"19957","5.6","5.6","5.6"
"20046","5.3","5.3","5.3"
"20171","5.2","5.2","5.2"
"20262","4.6","4.6","4.6"
"20351","4.1","4.1","4.1"
"20454","3.8","3.8","3.8"
"20557","3.1","3.1","3.1"
"20640","3","3","3"
"20727","3","3","3"
"20838","2.4","2.4","2.4"
"20975","3.4","3.4","3.4"
"21068","3.5","3.5","3.5"
"21151","2.9","2.9","2.9"
"21268","3.6","3.6","3.6"
"21355","3.6","3.6","3.6"
"21466","4.1","4.1","4.1"
"21571","4.2","4.2","4.2"
"21668","4.3","4.3","4.3"
"21779","4.9","4.9","4.9"
"21886","4.5","4.5","4.5"
"21991","3.6","3.6","3.6"
"22088","3.7","3.7","3.7"
"22191","3.7","3.7","3.7"
"22282","3","3","3"
"22379","3.1","3.1","3.1"
"22486","2.6","2.6","2.6"
"22603","2.9","2.9","2.9"
"22698","3","3","3"
"22803","2.8","2.8","2.8"
"22898","2.7","2.7","2.7"
"23001","2.7","2.7","2.7"
"23114","2.7","2.7","2.7"
"23211","2.7","2.7","2.7"
"23318","2.9","2.9","2.9"
"23409","2.8","2.8","2.8"
"23504","2.7","2.7","2.7"
"23615","2.5","2.5","2.5"
"23702","2.1","2.1","2.1"
"23795","1.7","1.7","1.7"
"23892","1.6","1.6","1.6"
"23997","1.5","1.5","1.5"
"24086","1.5","1.5","1.5"
"24177","1.9","1.9","1.9"
"24288","2.1","2.1","2.1"
"24391","2.3","2.3","2.3"
"24490","2.7","2.7","2.7"
"24587","2.6","2.6","2.6"
"24724","3.8","3.8","3.8"
"24825","4.3","4.3","4.3"
"24920","4.4","4.4","4.4"
"25019","4.5","4.5","4.5"
"25128","4.4","4.4","4.4"
"25251","4.8","4.8","4.8"
"25350","4.6","4.6","4.6"
"25443","4.4","4.4","4.4"
"25540","4.1","4.1","4.1"
"25629","4","4","4"
"25724","2.8","2.8","2.8"
"25821","2.4","2.4","2.4"
"25918","2.5","2.5","2.5"
"26011","2.4","2.4","2.4"
"26104","2.4","2.4","2.4"
"26193","1.9","1.9","1.9"
"26294","2","2","2"
"26405","2.3","2.3","2.3"
