"Step","cosmic-field-350 - mean_reward","cosmic-field-350 - mean_reward__MIN","cosmic-field-350 - mean_reward__MAX"
"46","2","2","2"
"131","2.5","2.5","2.5"
"252","3.3333333333333335","3.3333333333333335","3.3333333333333335"
"357","3","3","3"
"452","2.4","2.4","2.4"
"585","4","4","4"
"700","4","4","4"
"791","3.5","3.5","3.5"
"906","3.111111111111111","3.111111111111111","3.111111111111111"
"997","2.8","2.8","2.8"
"1102","3.1","3.1","3.1"
"1193","3","3","3"
"1288","2.7","2.7","2.7"
"1401","2.8","2.8","2.8"
"1486","2.9","2.9","2.9"
"1587","1.8","1.8","1.8"
"1670","1.4","1.4","1.4"
"1767","1.6","1.6","1.6"
"1896","2.4","2.4","2.4"
"1991","2.7","2.7","2.7"
"2090","2.6","2.6","2.6"
"2179","2.5","2.5","2.5"
"2308","2.8","2.8","2.8"
"2407","2.8","2.8","2.8"
"2576","3.5","3.5","3.5"
"2675","3.8","3.8","3.8"
"2764","3.9","3.9","3.9"
"2863","3.7","3.7","3.7"
"2974","3.5","3.5","3.5"
"3067","3.3","3.3","3.3"
"3152","3","3","3"
"3265","3.2","3.2","3.2"
"3352","2.7","2.7","2.7"
"3461","2.5","2.5","2.5"
"3570","2.2","2.2","2.2"
"3689","2.4","2.4","2.4"
"3804","3.1","3.1","3.1"
"3889","3.1","3.1","3.1"
"3984","2.6","2.6","2.6"
"4077","2.8","2.8","2.8"
"4178","3.1","3.1","3.1"
"4271","3","3","3"
"4358","3.1","3.1","3.1"
"4539","4.7","4.7","4.7"
"4622","4.2","4.2","4.2"
"4761","4.4","4.4","4.4"
"4858","3.6","3.6","3.6"
"4973","3.8","3.8","3.8"
"5058","3.7","3.7","3.7"
"5143","3.7","3.7","3.7"
"5234","3.5","3.5","3.5"
"5343","3.8","3.8","3.8"
"5438","4","4","4"
"5553","2.9","2.9","2.9"
"5658","3.1","3.1","3.1"
"5753","2.5","2.5","2.5"
"5850","2.5","2.5","2.5"
"5941","2.4","2.4","2.4"
"6046","2.9","2.9","2.9"
"6147","2.7","2.7","2.7"
"6250","2.8","2.8","2.8"
"6337","2.3","2.3","2.3"
"6436","2.4","2.4","2.4"
"6529","2.1","2.1","2.1"
"6624","2.3","2.3","2.3"
"6715","2.2","2.2","2.2"
"6806","2.2","2.2","2.2"
"6901","2.3","2.3","2.3"
"6992","2.1","2.1","2.1"
"7099","2","2","2"
"7186","1.8","1.8","1.8"
"7317","2.6","2.6","2.6"
"7398","2.2","2.2","2.2"
"7495","2.2","2.2","2.2"
"7602","1.9","1.9","1.9"
"7701","1.8","1.8","1.8"
"7816","2.4","2.4","2.4"
"7905","2.3","2.3","2.3"
"7990","2.1","2.1","2.1"
"8103","2.2","2.2","2.2"
"8200","2.5","2.5","2.5"
"8331","1.9","1.9","1.9"
"8418","2.1","2.1","2.1"
"8519","2.4","2.4","2.4"
"8612","2.5","2.5","2.5"
"8721","2.7","2.7","2.7"
"8806","2.2","2.2","2.2"
"8901","2.1","2.1","2.1"
"9020","2.8","2.8","2.8"
"9123","2.8","2.8","2.8"
"9202","2.5","2.5","2.5"
"9289","2.4","2.4","2.4"
"9414","2.3","2.3","2.3"
"9505","1.9","1.9","1.9"
"9596","1.9","1.9","1.9"
"9683","1.7","1.7","1.7"
"9784","2","2","2"
"9881","2.2","2.2","2.2"
"10000","2.1","2.1","2.1"
"10103","2.2","2.2","2.2"
"10194","2.2","2.2","2.2"
"10291","2.1","2.1","2.1"
"10382","2.3","2.3","2.3"
"10463","2.1","2.1","2.1"
"10556","2","2","2"
"10647","2.4","2.4","2.4"
"10748","2.3","2.3","2.3"
"10855","2.4","2.4","2.4"
"10956","2.1","2.1","2.1"
"11053","2.2","2.2","2.2"
"11152","2.3","2.3","2.3"
"11255","2.4","2.4","2.4"
"11358","2.5","2.5","2.5"
"11445","2.7","2.7","2.7"
"11534","2.8","2.8","2.8"
"11625","2.5","2.5","2.5"
"11708","2.2","2.2","2.2"
"11811","2","2","2"
"11898","1.7","1.7","1.7"
"12005","1.8","1.8","1.8"
"12106","1.9","1.9","1.9"
"12227","2.5","2.5","2.5"
"12316","2.3","2.3","2.3"
"12421","2.5","2.5","2.5"
"12532","2.6","2.6","2.6"
"12625","2.8","2.8","2.8"
"12748","3.2","3.2","3.2"
"12843","3.1","3.1","3.1"
"12976","4.1","4.1","4.1"
"13065","3.8","3.8","3.8"
"13170","3.8","3.8","3.8"
"13261","3.2","3.2","3.2"
"13352","3.3","3.3","3.3"
"13445","3.1","3.1","3.1"
"13560","3.4","3.4","3.4"
"13655","3.3","3.3","3.3"
"13758","3.1","3.1","3.1"
"13841","3.1","3.1","3.1"
"13938","2.3","2.3","2.3"
"14027","2.3","2.3","2.3"
"14122","2.1","2.1","2.1"
"14233","2.5","2.5","2.5"
"14328","2.4","2.4","2.4"
"14415","2.3","2.3","2.3"
"14504","1.7","1.7","1.7"
"14587","1.5","1.5","1.5"
"14680","1.5","1.5","1.5"
"14767","1.7","1.7","1.7"
"14892","2.2","2.2","2.2"
"15011","2.7","2.7","2.7"
"15094","2.6","2.6","2.6"
"15205","2.8","2.8","2.8"
"15290","2.7","2.7","2.7"
"15411","3.3","3.3","3.3"
