"Step","eternal-fog-16 - real_reward","eternal-fog-16 - real_reward__MIN","eternal-fog-16 - real_reward__MAX"
"67","8","8","8"
"125","6","6","6"
"206","4.666666666666667","4.666666666666667","4.666666666666667"
"316","3.5","3.5","3.5"
"402","2.8","2.8","2.8"
"482","2.3333333333333335","2.3333333333333335","2.3333333333333335"
"562","2.2857142857142856","2.2857142857142856","2.2857142857142856"
"636","2","2","2"
"713","2","2","2"
"784","1.8","1.8","1.8"
"861","1.2","1.2","1.2"
"947","0.9","0.9","0.9"
"1021","0.9","0.9","0.9"
"1125","0.9","0.9","0.9"
"1202","1","1","1"
"1300","1.1","1.1","1.1"
"1389","1.2","1.2","1.2"
"1466","1.5","1.5","1.5"
"1552","1.6","1.6","1.6"
"1626","1.6","1.6","1.6"
"1721","1.5","1.5","1.5"
"1816","1.6","1.6","1.6"
"1893","1.6","1.6","1.6"
"1991","1.7","1.7","1.7"
"2077","1.8","1.8","1.8"
"2169","2.1","2.1","2.1"
"2276","2.4","2.4","2.4"
"2371","2.7","2.7","2.7"
"2448","2.4","2.4","2.4"
"2534","2.8","2.8","2.8"
"2650","3.2","3.2","3.2"
"2739","3.3","3.3","3.3"
"2846","3.6","3.6","3.6"
"2938","3.7","3.7","3.7"
"3015","3.6","3.6","3.6"
"3101","3.4","3.4","3.4"
"3178","3.1","3.1","3.1"
"3279","2.9","2.9","2.9"
"3371","3.4","3.4","3.4"
"3451","3.3","3.3","3.3"
"3531","2.9","2.9","2.9"
"3617","2.7","2.7","2.7"
"3712","2.2","2.2","2.2"
"3810","2.3","2.3","2.3"
"3911","2.3","2.3","2.3"
"4006","2.1","2.1","2.1"
"4086","1.9","1.9","1.9"
"4166","1.6","1.6","1.6"
"4285","1.2","1.2","1.2"
"4371","1.1","1.1","1.1"
"4454","1.4","1.4","1.4"
"4549","1.4","1.4","1.4"
"4632","1.9","1.9","1.9"
"4718","1.9","1.9","1.9"
"4813","2","2","2"
"4896","2","2","2"
"4976","2.2","2.2","2.2"
"5062","2.3","2.3","2.3"
"5142","2.3","2.3","2.3"
"5252","2.7","2.7","2.7"
"5329","2.5","2.5","2.5"
"5406","2.6","2.6","2.6"
"5510","2.9","2.9","2.9"
"5614","3.3","3.3","3.3"
"5691","3.4","3.4","3.4"
"5771","3.8","3.8","3.8"
"5875","3.8","3.8","3.8"
"5961","3.6","3.6","3.6"
"6059","3.5","3.5","3.5"
"6187","4.3","4.3","4.3"
"6279","4.7","4.7","4.7"
"6374","4.7","4.7","4.7"
"6463","4.4","4.4","4.4"
"6549","4.3","4.3","4.3"
"6626","4.1","4.1","4.1"
"6712","4","4","4"
"6810","3.9","3.9","3.9"
"6887","4.1","4.1","4.1"
"6955","4.1","4.1","4.1"
"7026","2.7","2.7","2.7"
"7112","2.3","2.3","2.3"
"7192","2.3","2.3","2.3"
"7284","1.9","1.9","1.9"
"7367","1.5","1.5","1.5"
"7447","1.5","1.5","1.5"
"7557","1.6","1.6","1.6"
"7670","1.8","1.8","1.8"
"7789","2.2","2.2","2.2"
"7878","2.3","2.3","2.3"
"7967","2.5","2.5","2.5"
"8041","2.4","2.4","2.4"
"8118","2.4","2.4","2.4"
"8192","2.4","2.4","2.4"
"8281","2.4","2.4","2.4"
"8370","2.4","2.4","2.4"
"8453","2.1","2.1","2.1"
"8521","1.7","1.7","1.7"
"8616","1.8","1.8","1.8"
"8723","2.3","2.3","2.3"
"8815","2.7","2.7","2.7"
"8901","2.7","2.7","2.7"
"8996","2.6","2.6","2.6"
"9073","2.7","2.7","2.7"
"9159","2.8","2.8","2.8"
"9248","2.7","2.7","2.7"
"9328","2.9","2.9","2.9"
"9399","3.1","3.1","3.1"
"9494","2.4","2.4","2.4"
"9589","2","2","2"
"9732","1.4","1.4","1.4"
"9827","1.7","1.7","1.7"
"9901","1.7","1.7","1.7"
"9990","1.9","1.9","1.9"
"10085","2","2","2"
"10195","2.7","2.7","2.7"
"10272","2.6","2.6","2.6"
"10370","2.8","2.8","2.8"
"10459","3.1","3.1","3.1"
"10533","2.9","2.9","2.9"
"10619","3.2","3.2","3.2"
"10708","3.2","3.2","3.2"
"10815","3.6","3.6","3.6"
"10901","3.3","3.3","3.3"
"11023","3.1","3.1","3.1"
"11103","2.4","2.4","2.4"
"11189","2.5","2.5","2.5"
"11269","2.3","2.3","2.3"
"11349","2.2","2.2","2.2"
"11435","2.5","2.5","2.5"
"11512","2.5","2.5","2.5"
"11598","2.5","2.5","2.5"
"11714","2","2","2"
"11809","2.2","2.2","2.2"
"11901","2.6","2.6","2.6"
"11993","2.9","2.9","2.9"
"12094","2.8","2.8","2.8"
"12168","2.7","2.7","2.7"
"12266","2.6","2.6","2.6"
"12340","2.4","2.4","2.4"
"12438","2.6","2.6","2.6"
"12536","2.7","2.7","2.7"
"12613","2.9","2.9","2.9"
"12720","3.2","3.2","3.2"
"12827","3","3","3"
"12925","3.3","3.3","3.3"
"13011","3.4","3.4","3.4"
"13109","3.8","3.8","3.8"
"13222","4","4","4"
"13308","4","4","4"
"13397","3.7","3.7","3.7"
"13471","3.3","3.3","3.3"
"13554","3.3","3.3","3.3"
"13628","2.7","2.7","2.7"
"13708","2.5","2.5","2.5"
"13794","2.3","2.3","2.3"
"13883","2.3","2.3","2.3"
"13954","1.8","1.8","1.8"
"14043","1.5","1.5","1.5"
"14117","1.5","1.5","1.5"
"14227","1.5","1.5","1.5"
"14331","1.8","1.8","1.8"
"14429","2.3","2.3","2.3"
"14515","2.9","2.9","2.9"
"14610","3.3","3.3","3.3"
"14774","3.1","3.1","3.1"
"14893","3","3","3"
"14967","3.2","3.2","3.2"
"15041","3.2","3.2","3.2"
"15136","3.7","3.7","3.7"
"15225","3.8","3.8","3.8"
"15320","3.8","3.8","3.8"
"15400","3.1","3.1","3.1"
"15477","2.7","2.7","2.7"
"15566","2.3","2.3","2.3"
"15670","2.7","2.7","2.7"
"15747","2.6","2.6","2.6"
"15842","2.7","2.7","2.7"
"15946","3.1","3.1","3.1"
"16032","2.7","2.7","2.7"
"16130","2.5","2.5","2.5"
"16210","2.2","2.2","2.2"
"16302","2.8","2.8","2.8"
"16403","3.4","3.4","3.4"
"16486","3.4","3.4","3.4"
"16581","3.5","3.5","3.5"
"16670","3.6","3.6","3.6"
"16750","3.5","3.5","3.5"
"16833","3.5","3.5","3.5"
"16919","3.6","3.6","3.6"
"17011","4","4","4"
"17106","4.1","4.1","4.1"
"17195","3.8","3.8","3.8"
"17272","3.2","3.2","3.2"
"17364","3.4","3.4","3.4"
"17447","2.7","2.7","2.7"
"17542","2.7","2.7","2.7"
"17637","2.8","2.8","2.8"
"17720","2.7","2.7","2.7"
"17815","2.9","2.9","2.9"
"17898","2.7","2.7","2.7"
"17981","2.5","2.5","2.5"
"18085","2.7","2.7","2.7"
"18210","2.5","2.5","2.5"
"18326","2.5","2.5","2.5"
"18412","2.8","2.8","2.8"
"18513","2.8","2.8","2.8"
"18614","2.6","2.6","2.6"
"18739","3.3","3.3","3.3"
"18828","3.3","3.3","3.3"
"18926","3.6","3.6","3.6"
"19006","4","4","4"
"19092","3.5","3.5","3.5"
"19169","3.7","3.7","3.7"
"19318","4.1","4.1","4.1"
"19398","4.1","4.1","4.1"
"19478","4.2","4.2","4.2"
"19576","4.4","4.4","4.4"
"19650","3.5","3.5","3.5"
"19733","3.2","3.2","3.2"
"19831","2.8","2.8","2.8"
"19902","2.5","2.5","2.5"
"19994","3.2","3.2","3.2"
"20071","3.2","3.2","3.2"
"20154","2.7","2.7","2.7"
"20237","2.4","2.4","2.4"
"20338","2.1","2.1","2.1"
"20421","1.9","1.9","1.9"
"20519","2.1","2.1","2.1"
"20605","2","2","2"
"20691","2.1","2.1","2.1"
"20792","2.4","2.4","2.4"
"20893","2.1","2.1","2.1"
"21000","2","2","2"
"21089","1.9","1.9","1.9"
"21193","2","2","2"
"21297","2.7","2.7","2.7"
"21392","2.9","2.9","2.9"
"21484","3.2","3.2","3.2"
"21561","3.2","3.2","3.2"
"21653","3.1","3.1","3.1"
"21763","3.4","3.4","3.4"
"21855","3","3","3"
"21938","3","3","3"
"22042","2.8","2.8","2.8"
"22137","3.2","3.2","3.2"
"22262","3","3","3"
"22348","3.1","3.1","3.1"
"22425","2.7","2.7","2.7"
"22517","3","3","3"
"22630","3.1","3.1","3.1"
"22728","2.4","2.4","2.4"
"22820","2.8","2.8","2.8"
"22894","2.8","2.8","2.8"
"22980","3.2","3.2","3.2"
"23069","2.9","2.9","2.9"
"23155","2.7","2.7","2.7"
"23262","2.5","2.5","2.5"
"23339","2.5","2.5","2.5"
"23464","2.8","2.8","2.8"
"23556","2.9","2.9","2.9"
"23660","3.4","3.4","3.4"
"23737","3.2","3.2","3.2"
"23847","3.7","3.7","3.7"
"23957","3.8","3.8","3.8"
"24040","3.8","3.8","3.8"
"24117","3.7","3.7","3.7"
"24212","3.8","3.8","3.8"
"24292","3.7","3.7","3.7"
"24372","3.1","3.1","3.1"
"24488","3.8","3.8","3.8"
"24625","4","4","4"
"24732","4.3","4.3","4.3"
"24815","3.9","3.9","3.9"
"24898","3.7","3.7","3.7"
"24993","3.9","3.9","3.9"
"25076","4.1","4.1","4.1"
"25165","4.1","4.1","4.1"
"25233","4","4","4"
"25316","4.3","4.3","4.3"
"25384","3.2","3.2","3.2"
"25476","2.6","2.6","2.6"
"25589","2.4","2.4","2.4"
"25684","2.9","2.9","2.9"
"25764","2.8","2.8","2.8"
"25841","2.6","2.6","2.6"
"25948","2.3","2.3","2.3"
"26025","2.1","2.1","2.1"
"26132","2.9","2.9","2.9"
"26209","2.7","2.7","2.7"
"26289","3","3","3"
"26375","3","3","3"
"26470","3.1","3.1","3.1"
"26580","3.1","3.1","3.1"
"26663","2.9","2.9","2.9"
"26749","3.4","3.4","3.4"
"26850","3.4","3.4","3.4"
"26951","4.1","4.1","4.1"
"27028","3.5","3.5","3.5"
"27102","3.3","3.3","3.3"
"27230","3.7","3.7","3.7"
"27334","4.2","4.2","4.2"
"27408","4.1","4.1","4.1"
"27527","3.9","3.9","3.9"
"27610","3.9","3.9","3.9"
"27699","3.3","3.3","3.3"
"27788","3.5","3.5","3.5"
"27859","2.7","2.7","2.7"
"27942","2.7","2.7","2.7"
"28043","3.3","3.3","3.3"
"28126","2.9","2.9","2.9"
"28230","2.8","2.8","2.8"
"28322","2.5","2.5","2.5"
"28441","2.1","2.1","2.1"
"28518","2.2","2.2","2.2"
"28595","2.4","2.4","2.4"
"28696","2.4","2.4","2.4"
"28785","2.7","2.7","2.7"
"28865","2.7","2.7","2.7"
"28954","2.4","2.4","2.4"
"29073","2.4","2.4","2.4"
"29156","2.1","2.1","2.1"
"29266","2.4","2.4","2.4"
"29361","2.7","2.7","2.7"
"29450","3.1","3.1","3.1"
"29533","2.9","2.9","2.9"
"29613","2.7","2.7","2.7"
"29708","2.8","2.8","2.8"
"29791","3.2","3.2","3.2"
"29889","3.3","3.3","3.3"
"29984","3.5","3.5","3.5"
"30064","3.5","3.5","3.5"
"30171","3.3","3.3","3.3"
"30251","3.2","3.2","3.2"
"30337","2.8","2.8","2.8"
"30444","3","3","3"
"30545","3.6","3.6","3.6"
"30631","3.5","3.5","3.5"
"30714","3.1","3.1","3.1"
"30806","3","3","3"
"30892","2.6","2.6","2.6"
"30981","2.6","2.6","2.6"
"31067","2.8","2.8","2.8"
"31177","3.1","3.1","3.1"
"31266","3.2","3.2","3.2"
"31349","3.1","3.1","3.1"
"31441","2.7","2.7","2.7"
"31548","2.8","2.8","2.8"
"31646","3","3","3"
"31720","2.8","2.8","2.8"
"31839","3.1","3.1","3.1"
"31937","3.4","3.4","3.4"
"32011","3.2","3.2","3.2"
"32112","3.2","3.2","3.2"
"32189","3.1","3.1","3.1"
"32278","3.4","3.4","3.4"
"32364","3.3","3.3","3.3"
"32450","3.1","3.1","3.1"
"32545","3","3","3"
"32628","3.1","3.1","3.1"
"32699","2.9","2.9","2.9"
"32782","2.5","2.5","2.5"
"32880","2.9","2.9","2.9"
"32966","2.5","2.5","2.5"
"33070","3.1","3.1","3.1"
"33144","2.8","2.8","2.8"
"33224","2.8","2.8","2.8"
"33340","3","3","3"
"33450","3.3","3.3","3.3"
"33536","3.3","3.3","3.3"
"33622","3.5","3.5","3.5"
"33711","3.9","3.9","3.9"
"33788","3.6","3.6","3.6"
"33886","3.5","3.5","3.5"
"33987","3.3","3.3","3.3"
"34067","3.3","3.3","3.3"
"34180","3.4","3.4","3.4"
"34281","3.2","3.2","3.2"
"34361","3","3","3"
"34450","3","3","3"
"34539","3","3","3"
"34643","2.6","2.6","2.6"
"34750","2.6","2.6","2.6"
"34842","3","3","3"
"34919","2.7","2.7","2.7"
"35032","3.2","3.2","3.2"
"35112","3.2","3.2","3.2"
"35204","3.5","3.5","3.5"
"35287","3.3","3.3","3.3"
"35376","3.3","3.3","3.3"
"35450","3","3","3"
"35548","3.5","3.5","3.5"
"35676","3.9","3.9","3.9"
"35768","3.6","3.6","3.6"
"35911","4.5","4.5","4.5"
"36057","4.3","4.3","4.3"
"36152","4.3","4.3","4.3"
"36241","3.8","3.8","3.8"
"36351","4.2","4.2","4.2"
"36440","4.1","4.1","4.1"
"36532","4","4","4"
"36642","3.9","3.9","3.9"
"36752","3.8","3.8","3.8"
"36856","4.2","4.2","4.2"
"36972","3.6","3.6","3.6"
"37049","3.2","3.2","3.2"
"37147","3.3","3.3","3.3"
"37248","4","4","4"
"37337","3.8","3.8","3.8"
"37414","4","4","4"
"37494","4.1","4.1","4.1"
"37571","3.9","3.9","3.9"
"37672","4.2","4.2","4.2"
"37746","3.9","3.9","3.9"
"37847","4.1","4.1","4.1"
"37948","4.5","4.5","4.5"
"38076","4.2","4.2","4.2"
"38159","3.5","3.5","3.5"
"38284","3.3","3.3","3.3"
"38382","3.9","3.9","3.9"
"38477","4.2","4.2","4.2"
"38572","4.1","4.1","4.1"
"38697","3.7","3.7","3.7"
"38777","3.8","3.8","3.8"
"38857","3.2","3.2","3.2"
"38949","3.2","3.2","3.2"
"39029","3.3","3.3","3.3"
"39112","3.5","3.5","3.5"
"39201","3.5","3.5","3.5"
"39287","2.9","2.9","2.9"
"39388","2.6","2.6","2.6"
"39501","3.3","3.3","3.3"
"39587","3","3","3"
"39691","3.1","3.1","3.1"
"39795","3.1","3.1","3.1"
"39905","3.1","3.1","3.1"
"39994","3.4","3.4","3.4"
"40101","3.6","3.6","3.6"
"40202","3.7","3.7","3.7"
"40306","4","4","4"
"40377","4.1","4.1","4.1"
"40451","3.3","3.3","3.3"
"40546","3.8","3.8","3.8"
"40656","3.7","3.7","3.7"
"40736","3.7","3.7","3.7"
"40864","4.1","4.1","4.1"
"40953","3.9","3.9","3.9"
"41024","3.8","3.8","3.8"
"41161","4","4","4"
"41289","3.8","3.8","3.8"
"41396","4.3","4.3","4.3"
"41476","4.5","4.5","4.5"
"41580","4.4","4.4","4.4"
"41702","4.1","4.1","4.1"
"41800","4.5","4.5","4.5"
"41907","4.1","4.1","4.1"
"41987","3.9","3.9","3.9"
"42064","3.8","3.8","3.8"
"42135","3.3","3.3","3.3"
"42224","3.3","3.3","3.3"
"42316","2.9","2.9","2.9"
"42423","3.1","3.1","3.1"
"42524","2.7","2.7","2.7"
"42616","3.3","3.3","3.3"
"42708","3.2","3.2","3.2"
"42812","2.9","2.9","2.9"
"42937","3.7","3.7","3.7"
"43014","3.7","3.7","3.7"
"43088","3.8","3.8","3.8"
"43177","3.5","3.5","3.5"
"43254","3.3","3.3","3.3"
"43352","3","3","3"
"43456","3.6","3.6","3.6"
"43554","3.1","3.1","3.1"
"43631","2.8","2.8","2.8"
"43723","2.9","2.9","2.9"
"43803","2.2","2.2","2.2"
"43919","2.3","2.3","2.3"
"43999","2.4","2.4","2.4"
"44073","2.3","2.3","2.3"
"44180","2.6","2.6","2.6"
"44284","3","3","3"
"44376","2.4","2.4","2.4"
"44468","2.4","2.4","2.4"
"44548","2.6","2.6","2.6"
"44658","3.1","3.1","3.1"
"44765","3.9","3.9","3.9"
"44893","3.9","3.9","3.9"
"45000","4.4","4.4","4.4"
"45080","4.6","4.6","4.6"
"45178","4.4","4.4","4.4"
"45279","4.3","4.3","4.3"
"45395","4.6","4.6","4.6"
"45514","4.6","4.6","4.6"
"45642","5.2","5.2","5.2"
"45719","4.4","4.4","4.4"
"45847","4","4","4"
"45924","3.9","3.9","3.9"
"46031","3.5","3.5","3.5"
"46153","3.5","3.5","3.5"
"46245","3.6","3.6","3.6"
"46367","3.9","3.9","3.9"
"46465","3.6","3.6","3.6"
"46557","4.2","4.2","4.2"
"46670","3.5","3.5","3.5"
"46771","4.3","4.3","4.3"
"46860","4","4","4"
"46955","3.9","3.9","3.9"
"47059","4.3","4.3","4.3"
"47169","4.7","4.7","4.7"
"47258","4.8","4.8","4.8"
"47335","4.1","4.1","4.1"
"47424","4.2","4.2","4.2"
"47510","3.7","3.7","3.7"
"47611","3.7","3.7","3.7"
"47688","3","3","3"
"47783","2.8","2.8","2.8"
"47878","3.1","3.1","3.1"
"47964","2.9","2.9","2.9"
"48080","2.5","2.5","2.5"
"48220","2.4","2.4","2.4"
"48321","2.5","2.5","2.5"
"48437","2.6","2.6","2.6"
