"Step","kind-music-2 - immediate_reward","kind-music-2 - immediate_reward__MIN","kind-music-2 - immediate_reward__MAX"
"24","0","0","0"
"359","0","0","0"
"421","0","0","0"
"684","0","0","0"
"834","0","0","0"
"913","0","0","0"
"951","0","0","0"
"965","0","0","0"
"1024","0","0","0"
"1044","0","0","0"
"1488","0","0","0"
"1771","0","0","0"
"1839","0","0","0"
"1979","0","0","0"
"2308","0","0","0"
"2481","0","0","0"
"2669","0","0","0"
"2912","0","0","0"
"3134","0","0","0"
"3198","0","0","0"
"3223","0","0","0"
"3251","0","0","0"
"3344","0","0","0"
"3358","0","0","0"
"3546","0","0","0"
"3823","0","0","0"
"3887","0","0","0"
"4112","0","0","0"
"4291","0","0","0"
"4402","0","0","0"
"4406","0","0","0"
"4411","0","0","0"
"4534","0","0","0"
"4601","0","0","0"
"4613","0","0","0"
"4776","0","0","0"
"4845","1","1","1"
"4875","0","0","0"
"4916","0","0","0"
"5131","0","0","0"
"5224","0","0","0"
"5267","0","0","0"
"5480","1","1","1"
"5895","0","0","0"
"6091","0","0","0"
"6422","0","0","0"
"6447","1","1","1"
"6552","0","0","0"
"6717","0","0","0"
"6946","0","0","0"
"6970","0","0","0"
"6978","1","1","1"
"6984","1","1","1"
"7137","0","0","0"
"7287","0","0","0"
"7515","0","0","0"
"7573","0","0","0"
"7592","0","0","0"
"7986","0","0","0"
"8038","0","0","0"
"8178","0","0","0"
"8275","0","0","0"
"8404","0","0","0"
"8443","0","0","0"
"9119","0","0","0"
"9148","1","1","1"
"9218","0","0","0"
"9245","0","0","0"
"9703","0","0","0"
"9814","0","0","0"
"9929","0","0","0"
"10235","0","0","0"
"10303","0","0","0"
"10507","0","0","0"
"10831","0","0","0"
"10944","0","0","0"
"10990","1","1","1"
"11057","0","0","0"
"11095","0","0","0"
"11164","0","0","0"
"11184","0","0","0"
"11237","0","0","0"
"11322","0","0","0"
"11416","0","0","0"
"11447","0","0","0"
"11912","0","0","0"
"11940","0","0","0"
"12312","0","0","0"
"12481","0","0","0"
"12921","0","0","0"
"13176","0","0","0"
"13266","0","0","0"
"13293","0","0","0"
"13309","0","0","0"
"13456","0","0","0"
"13630","0","0","0"
"13808","0","0","0"
"14109","0","0","0"
"14311","0","0","0"
"14747","0","0","0"
"14911","0","0","0"
"14935","0","0","0"
"15028","0","0","0"
"15065","0","0","0"
"15416","0","0","0"
"15618","0","0","0"
"15697","0","0","0"
"15743","0","0","0"
"15777","0","0","0"
"15870","0","0","0"
"16787","0","0","0"
"16923","1","1","1"
"16943","0","0","0"
"17706","0","0","0"
"17937","0","0","0"
"17967","0","0","0"
"18036","0","0","0"
"18117","1","1","1"
"18165","0","0","0"
"18200","0","0","0"
"18424","0","0","0"
"18559","0","0","0"
"18565","0","0","0"
"18739","0","0","0"
"18757","0","0","0"
