"Step","cosmic-field-350 - immediate_reward","cosmic-field-350 - immediate_reward__MIN","cosmic-field-350 - immediate_reward__MAX"
"272","0","0","0"
"397","0","0","0"
"454","0","0","0"
"774","0","0","0"
"805","0","0","0"
"1104","0","0","0"
"1742","0","0","0"
"1813","0","0","0"
"1823","0","0","0"
"2237","0","0","0"
"2352","0","0","0"
"2396","0","0","0"
"2537","0","0","0"
"2725","0","0","0"
"2858","0","0","0"
"3034","0","0","0"
"3133","1","1","1"
"3273","0","0","0"
"3400","0","0","0"
"3442","0","0","0"
"3509","0","0","0"
"3664","0","0","0"
"3787","0","0","0"
"3929","0","0","0"
"4020","0","0","0"
"4177","0","0","0"
"4192","0","0","0"
"4335","0","0","0"
"4357","0","0","0"
"4470","0","0","0"
"4605","0","0","0"
"4666","0","0","0"
"4991","0","0","0"
"5195","0","0","0"
"5236","0","0","0"
"5246","0","0","0"
"5268","0","0","0"
"5389","0","0","0"
"5472","0","0","0"
"5664","0","0","0"
"5696","0","0","0"
"5787","0","0","0"
"5898","0","0","0"
"5940","0","0","0"
"5953","1","1","1"
"6874","0","0","0"
"6917","0","0","0"
"7012","0","0","0"
"7153","0","0","0"
"7900","0","0","0"
"7917","1","1","1"
"8030","0","0","0"
"8195","0","0","0"
"9054","0","0","0"
"9104","0","0","0"
"9106","0","0","0"
"9341","0","0","0"
"9577","0","0","0"
"9747","0","0","0"
"9830","0","0","0"
"9893","1","1","1"
"10088","0","0","0"
"10094","0","0","0"
"10102","0","0","0"
"10588","0","0","0"
"10665","0","0","0"
"10754","0","0","0"
"10844","0","0","0"
"10921","0","0","0"
"11295","0","0","0"
"11355","0","0","0"
"11357","0","0","0"
"11436","0","0","0"
"11608","0","0","0"
"11663","0","0","0"
"11766","0","0","0"
"11806","0","0","0"
"11839","0","0","0"
"11964","0","0","0"
"12146","0","0","0"
"12154","0","0","0"
"12233","0","0","0"
"12261","0","0","0"
"12933","0","0","0"
"13248","0","0","0"
"13293","0","0","0"
"13485","0","0","0"
"13515","0","0","0"
"13719","0","0","0"
"13770","0","0","0"
"13772","0","0","0"
"13871","0","0","0"
"14099","0","0","0"
"14251","0","0","0"
"14477","0","0","0"
"14663","0","0","0"
"14702","0","0","0"
"14891","0","0","0"
"14964","0","0","0"
"15006","0","0","0"
"15077","0","0","0"
"15283","0","0","0"
"15661","0","0","0"
"15878","0","0","0"
"15936","0","0","0"
"16138","0","0","0"
"16245","0","0","0"
"16811","0","0","0"
"16904","0","0","0"
"17296","1","1","1"
"17356","0","0","0"
"17601","0","0","0"
"17874","0","0","0"
"17926","0","0","0"
"18170","0","0","0"
"18324","0","0","0"
"18344","0","0","0"
"18534","0","0","0"
"18657","0","0","0"
"18733","0","0","0"
"18738","0","0","0"
"18927","0","0","0"
"19142","0","0","0"
"19162","0","0","0"
"19584","0","0","0"
"19600","0","0","0"
"19758","0","0","0"
"20020","0","0","0"
"20032","0","0","0"
"20097","0","0","0"
"20153","0","0","0"
"20755","0","0","0"
"20832","0","0","0"
"20952","0","0","0"
"21188","0","0","0"
"21499","0","0","0"
"21705","0","0","0"
"21754","0","0","0"
"21909","0","0","0"
"21940","0","0","0"
"22412","0","0","0"
"22465","0","0","0"
"22695","0","0","0"
"22966","0","0","0"
"23064","0","0","0"
"23250","0","0","0"
"23357","0","0","0"
"23406","0","0","0"
"23422","0","0","0"
"23525","0","0","0"
"23775","0","0","0"
"23941","0","0","0"
"24076","0","0","0"
"24261","0","0","0"
"24279","0","0","0"
"24446","0","0","0"
"24462","0","0","0"
"24559","0","0","0"
"24624","0","0","0"
"24704","0","0","0"
"24799","0","0","0"
"25159","0","0","0"
"25324","0","0","0"
"25615","0","0","0"
"25726","0","0","0"
"25817","0","0","0"
"26056","0","0","0"
"26268","0","0","0"
"26325","0","0","0"
"26430","1","1","1"
"26464","1","1","1"
"26474","0","0","0"
"26504","0","0","0"
"26539","0","0","0"
"26551","0","0","0"
"27205","0","0","0"
"27223","0","0","0"
"27375","0","0","0"
"27474","0","0","0"
"27664","0","0","0"
"27932","0","0","0"
"28027","0","0","0"
"28244","0","0","0"
"28276","0","0","0"
"28436","0","0","0"
"28579","0","0","0"
"28706","0","0","0"
"28864","0","0","0"
"29718","0","0","0"
"30003","0","0","0"
"30171","0","0","0"
"30428","0","0","0"
"30548","0","0","0"
"30969","0","0","0"
"31219","0","0","0"
"31280","0","0","0"
"31342","0","0","0"
"31471","0","0","0"
"31485","0","0","0"
"31926","0","0","0"
"31958","0","0","0"
"32215","0","0","0"
"32281","1","1","1"
"32421","0","0","0"
"32596","0","0","0"
"32750","0","0","0"
"32772","0","0","0"
"32802","0","0","0"
"33106","0","0","0"
"33293","0","0","0"
"33918","0","0","0"
"33996","0","0","0"
"34383","0","0","0"
"34554","0","0","0"
