pereREINFORCE.py:118: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:278.)
  state_tensor = torch.tensor([self.current_state], dtype=torch.float32).to(device)
Episode 0 | Total Reward: 5.00 | Rolling Avg Reward: 5.00 | Rolling Avg Loss: -0.7247
Episode 10 | Total Reward: 0.00 | Rolling Avg Reward: 1.20 | Rolling Avg Loss: 3.0899
Episode 20 | Total Reward: 0.00 | Rolling Avg Reward: 0.00 | Rolling Avg Loss: 0.0000
Episode 30 | Total Reward: 0.00 | Rolling Avg Reward: 0.20 | Rolling Avg Loss: 10.0410
Episode 40 | Total Reward: 3.00 | Rolling Avg Reward: 3.70 | Rolling Avg Loss: 0.2100
Episode 50 | Total Reward: 3.00 | Rolling Avg Reward: 3.30 | Rolling Avg Loss: 0.1095
Episode 60 | Total Reward: 1.00 | Rolling Avg Reward: 2.90 | Rolling Avg Loss: 4.8951
Episode 70 | Total Reward: 7.00 | Rolling Avg Reward: 5.60 | Rolling Avg Loss: 0.6494
Episode 80 | Total Reward: 2.00 | Rolling Avg Reward: 2.40 | Rolling Avg Loss: 0.1137
Episode 90 | Total Reward: 5.00 | Rolling Avg Reward: 3.90 | Rolling Avg Loss: 2.3039
Episode 100 | Total Reward: 1.00 | Rolling Avg Reward: 3.10 | Rolling Avg Loss: -3.1135
Episode 110 | Total Reward: 1.00 | Rolling Avg Reward: 1.00 | Rolling Avg Loss: 0.0000
Episode 120 | Total Reward: 1.00 | Rolling Avg Reward: 1.00 | Rolling Avg Loss: -0.0000
Episode 130 | Total Reward: 1.00 | Rolling Avg Reward: 1.00 | Rolling Avg Loss: -0.0000
Episode 140 | Total Reward: 1.00 | Rolling Avg Reward: 1.00 | Rolling Avg Loss: -0.0000
Episode 150 | Total Reward: 1.00 | Rolling Avg Reward: 1.00 | Rolling Avg Loss: -0.0000
Episode 160 | Total Reward: 1.00 | Rolling Avg Reward: 1.00 | Rolling Avg Loss: -0.0000
Episode 170 | Total Reward: 1.00 | Rolling Avg Reward: 1.00 | Rolling Avg Loss: -0.0000
Episode 180 | Total Reward: 1.00 | Rolling Avg Reward: 1.00 | Rolling Avg Loss: -0.0000
Episode 190 | Total Reward: 1.00 | Rolling Avg Reward: 1.00 | Rolling Avg Loss: -0.0000
Episode 200 | Total Reward: 1.00 | Rolling Avg Reward: 1.00 | Rolling Avg Loss: -0.0000
Episode 210 | Total Reward: 1.00 | Rolling Avg Reward: 1.00 | Rolling Avg Loss: -0.0000
Episode 220 | Total Reward: 1.00 | Rolling Avg Reward: 1.00 | Rolling Avg Loss: -0.0000
Episode 230 | Total Reward: 1.00 | Rolling Avg Reward: 1.00 | Rolling Avg Loss: -0.0000
